New Incoming Student for the Academic Year: 2024 – 2025,Guaranteed Tuition Plan,Variable Tuition Rate,"Description of Calculation:
Based on 120 hour degree plan for an undergraduate resident student taking 15hrs for 8 semesters (fall and spring sessions)"
Semester 1,"$8,246","$7,322",
Semester 2,"$8,246","$7,322",
Semester 3,"$8,246","$7,542",Assuming an estimated 3.0% increase in the Variable Tuition Rate
Semester 4,"$8,246","$7,542",
Semester 5,"$8,246","$7,768",Assuming an estimated 3.0% increase in the Variable Tuition Rate
Semester 6,"$8,246","$7,768",
Semester 7,"$8,246","$8,001",Assuming an estimated 3.0% increase in the Variable Tuition Rate
Semester 8,"$8,246","$8,001",
,"$65,968","$61,266",

Variable Tuition Plan 2024 – 2025
,Resident / Undergraduate,Non-Resident / Undergraduate,Resident / Graduate,Non-Resident / Graduate
Credit Hours,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only
1,"$1,740","$1,648","$1,577","$4,685","$4,593","$4,522","$1,691","$1,599","$1,528","$2,489","$2,397","$2,326"
2,"$2,318","$2,226","$2,155","$6,278","$6,186","$6,115","$2,693","$2,601","$2,530","$4,005","$3,913","$3,842"
3,"$2,897","$2,805","$2,734","$7,871","$7,779","$7,708","$3,475","$3,383","$3,312","$5,499","$5,407","$5,336"
4,"$3,476","$3,384","$3,313","$9,464","$9,372","$9,301","$4,152","$4,060","$3,989","$6,917","$6,825","$6,754"
5,"$4,055","$3,963","$3,892","$11,057","$10,965","$10,894","$4,828","$4,736","$4,665","$8,335","$8,243","$8,172"
6,"$4,633","$4,541","$4,470","$12,651","$12,559","$12,488","$5,502","$5,410","$5,339","$9,751","$9,659","$9,588"
7,"$5,212","$5,120","$5,049","$14,244","$14,152","$14,081","$6,613","$6,521","$6,450","$11,788","$11,696","$11,625"
8,"$5,791","$5,699","$5,628","$15,837","$15,745","$15,674","$7,289","$7,197","$7,126","$13,188","$13,096","$13,025"
9,"$6,370","$6,278","$6,207","$17,429","$17,337","$17,266","$7,584","$7,492","$7,421","$14,774","$14,682","$14,611"
10,"$6,388","$6,296","$6,225","$17,497","$17,405","$17,334","$8,173","$8,081","$8,010","$15,816","$15,724","$15,653"
11,"$6,406","$6,314","$6,243","$17,564","$17,472","$17,401","$8,762","$8,670","$8,599","$17,082","$16,990","$16,919"
12,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"
13,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"
14,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"
15,"$7,322","$7,230","$7,159","$20,072","$19,980","$19,909","$9,101","$9,009","$8,938","$18,256","$18,164","$18,093"

Supplemental Designated Tuition Fees
School,Courses,Fee
"Harry J. Bass Jr. School of Arts, Humanities, and Technology",All ATCM Undergraduate,$50.00 per credit hour
All ATCM Graduate,$50.00 per credit hour
School of Behavioral and Brain Sciences,"Graduate Speech Language/Audiology (COMD, AUD)",$50.00 per credit hour
"School of Economic, Political and Policy Sciences",Graduate Public Affairs (PA),$50.00 per credit hour
Erik Jonsson School of Engineering and Computer Science,All ECS Undergraduate,$70.00 per credit hour
All ECS Graduate,$95.00 per credit hour
Naveen Jindal School of Management,All MGT Undergraduate,$60.00 per credit hour
All MGT Graduate,$100.00 per credit hour

Guaranteed Tuition Plan 2024 – 2025
,Resident / Undergraduate,Non-Resident / Undergraduate,Resident / Graduate,Non-Resident / Graduate
Credit Hours,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only
1,"$1,957","$1,865","$1,794","$5,271","$5,179","$5,108","$1,906","$1,814","$1,743","$2,817","$2,725","$2,654"
2,"$2,607","$2,515","$2,444","$7,065","$6,973","$6,902","$3,037","$2,945","$2,874","$4,575","$4,483","$4,412"
3,"$3,260","$3,168","$3,097","$8,858","$8,766","$8,695","$3,923","$3,831","$3,760","$6,312","$6,220","$6,149"
4,"$3,912","$3,820","$3,749","$10,650","$10,558","$10,487","$4,686","$4,594","$4,523","$7,963","$7,871","$7,800"
5,"$4,565","$4,473","$4,402","$12,446","$12,354","$12,283","$5,449","$5,357","$5,286","$9,613","$9,521","$9,450"
6,"$5,216","$5,124","$5,053","$14,238","$14,146","$14,075","$6,212","$6,120","$6,049","$11,263","$11,171","$11,100"
7,"$5,869","$5,777","$5,706","$16,032","$15,940","$15,869","$7,466","$7,374","$7,303","$13,590","$13,498","$13,427"
8,"$6,521","$6,429","$6,358","$17,825","$17,733","$17,662","$8,229","$8,137","$8,066","$15,223","$15,131","$15,060"
9,"$7,173","$7,081","$7,010","$19,617","$19,525","$19,454","$8,564","$8,472","$8,401","$16,647","$16,555","$16,484"
10,"$7,195","$7,103","$7,032","$19,691","$19,599","$19,528","$9,254","$9,162","$9,091","$18,294","$18,202","$18,131"
11,"$7,214","$7,122","$7,051","$19,766","$19,674","$19,603","$9,942","$9,850","$9,779","$19,794","$19,702","$19,631"
12,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"
13,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"
14,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"
15,"$8,246","$8,154","$8,083","$22,590","$22,498","$22,427","$10,458","$10,366","$10,295","$21,196","$21,104","$21,033"

Supplemental Designated Tuition Fees
School,Courses,Fee
"Harry J. Bass Jr. School of Arts, Humanities, and Technology",All ATCM Undergraduate,$50.00 per credit hour
All ATCM Graduate,$50.00 per credit hour
School of Behavioral and Brain Sciences,"Graduate Speech Language/Audiology (COMD, AUD)",$50.00 per credit hour
"School of Economic, Political and Policy Sciences",Graduate Public Affairs (PA),$50.00 per credit hour
Erik Jonsson School of Engineering and Computer Science,All ECS Undergraduate,$70.00 per credit hour
All ECS Graduate,$95.00 per credit hour
Naveen Jindal School of Management,All MGT Undergraduate,$60.00 per credit hour
All MGT Graduate,$100.00 per credit hour

Guaranteed Tuition Plan 2023 – 2024
,Resident / Undergraduate,Non-Resident / Undergraduate,Resident / Graduate,Non-Resident / Graduate
Credit Hours,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only,Fall / Spring / 11-Week Summer,8-Week Summer Only,5-Week Summer Only
1,"$1,917","$1,839","$1,774","$5,231","$5,153","$5,088","$1,866","$1,788","$1,723","$2,777","$2,699","$2,634"
2,"$2,567","$2,489","$2,424","$7,025","$6,947","$6,882","$2,997","$2,919","$2,854","$4,535","$4,457","$4,392"
3,"$3,220","$3,142","$3,077","$8,818","$8,740","$8,675","$3,883","$3,805","$3,740","$6,272","$6,194","$6,129"
4,"$3,872","$3,794","$3,729","$10,610","$10,532","$10,467","$4,646","$4,568","$4,503","$7,923","$7,845","$7,780"
5,"$4,525","$4,447","$4,382","$12,406","$12,328","$12,263","$5,409","$5,331","$5,266","$9,573","$9,495","$9,430"
6,"$5,176","$5,098","$5,033","$14,198","$14,120","$14,055","$6,172","$6,094","$6,029","$11,223","$11,145","$11,080"
7,"$5,829","$5,751","$5,686","$15,992","$15,914","$15,849","$7,426","$7,348","$7,283","$13,550","$13,472","$13,407"
8,"$6,481","$6,403","$6,338","$17,785","$17,707","$17,642","$8,189","$8,111","$8,046","$15,183","$15,105","$15,040"
